Material,Name,Formula,Purity,Price,Quantity,Rest
Aluminum,ALUMINUM CRIMP,99.95% PURE,N/A,125-139MG EACH,P.O.R., Al    5  000 PIECS/BAG 125–139 mg 5 000 Pieces 99.5% EVMAL1350632
Aluminum,N/A,99.5% pure),N/A,N/A,P.O.R.,Aluminum Crimps (5  000 Pieces  68–79 mg 5 000 Pieces 99.5% EVMAL1350737
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,1 KILOGRAM,€299.00, Al2O3   1-2.5MM PIECES  1mm - 2.5mm Pieces 1 kg 99.99% EVMALO-1-2.5
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,100 GRAMS.,P.O.R., AL2O3   1-2.5MM PIECES  1mm - 2.5mm Pieces 100 g 99.99% EVMALO-1-2.5D
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,25 GRAMS,€46.00, Al2O3   1-3MM PIECES   CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 25 g 99.99% EVMALO1-3MMA
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,50 GRAMS,€59.00, Al2O3   1-3MM PIECES   CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 50 g 99.99% EVMALO1-3MMB
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,100 GRAMS,€106.00, Al2O3   1-3MM PIECES   CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 100 g 99.99% EVMALO1-3MMD
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,1KG LOT,P.O.R., Al2O3   1-3MM PIECES   CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 1 kg 99.99% EVMALO1-3MMKG
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,500 GRAMS,P.O.R., Al2O3   1-3MM PIECES  CLEAR  POLYCRYSTALLINE  1mm - 3mm Pieces 500 g 99.99% EVMALO1-3MMT
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,SINGLE CRYSTAL SAPPHIRE,P.O.R., Al2O3   1-5MM PIECES  1 POUND  CLEAR  1mm - 5mm Pieces 1 lb 99.99% EVMALO-1220
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,25 GRAMS,€70.00, Al2O3   1-5MM PIECES   CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 25 g 99.99% EVMALO-1220A
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,50 GRAMS,€101.00, Al2O3   1-5MM PIECES   CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 50 g 99.99% EVMALO-1220B
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,100 GRAMS,€187.00, Al2O3   1-5MM PIECES   CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 100 g 99.99% EVMALO-1220D
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,1 KILOGRAM,P.O.R., Al2O3   1-5MM PIECES   CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 1 kg 99.99% EVMALO-1220KG
Aluminum Oxide,ALUMINUM OXIDE PIECES,99.99% PURE,N/A,500 GRAMS,P.O.R., Al2O3   1-5MM PIECES   CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 500 g 99.99% EVMALO-1220T
Antimony,ANTIMONY PIECES,99.999% PURE,N/A,1 lb.,P.O.R., Sb   1-3MM SHOT  1 POUND 1mm - 3mm Pieces 99.999% EVMSB501141
Antimony,ANTIMONY PIECES,99.999% PURE,N/A,25 GRAMS,P.O.R., Sb   1-3MM SHOT  1mm - 3mm Pieces 25 g 99.999% EVMSB501141A
Antimony,ANTIMONY PIECES,99.999% PURE,N/A,50 GRAMS,€157.00, Sb   1-3MM SHOT  1mm - 3mm Pieces 50 g 99.999% EVMSB501141B
Antimony,ANTIMONY PIECES,99.999% PURE,N/A,100 GRAMS,P.O.R., Sb   1-3MM PIECES  1mm - 3mm Pieces 100 g 99.999% EVMSB501141D
Antimony,ANTIMONY PIECES,99.999% PURE,N/A,500 GRAMS,P.O.R., Sb   1-3MM SHOT  1mm - 3mm Pieces 500 g 99.999% EVMSB501141T
Antimony,ANTIMONY PIECES,99.999% PURE,N/A,25 GRAMS,P.O.R., Sb   3-6MM PIECES  3mm - 6mm Pieces 25 g 99.999% EVMSB5036MMA
Barium,BARIUM PIECES,99.5% PURE Ex Sr,N/A,200 GRAM LOT,P.O.R., Ba   3-6MM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 200 g 99.5% EVMBA253-6MM
Barium,BARIUM PIECES,99.5% MIN. PURE Ex Sr,N/A,25 GRAMS,P.O.R., Ba   3-6MM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 25 g 99.5% EVMBA3-6MMA
Barium,BARIUM PIECES,99.5% MIN. PURE Ex Sr,N/A,50 GRAMS,P.O.R., Ba   3-6MM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 50 g 99.5% EVMBA3-6MMB
Barium,BARIUM PIECES,99.5% MIN. PURE Ex Sr,N/A,100 GRAMS,P.O.R., Ba   3-6 MM RANDOM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 100 g 99.5% EVMBA3-6MMD
Barium,BARIUM PIECES,99.5% MIN. PURE Ex Sr,N/A,500 GRAMS,P.O.R., Ba   3−6MM RANDOM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 500 g 99.5% EVMBA3-6MMT
Bismuth,EUDF BISMUTH PIECES,99.999% PURE,N/A,25 GRAMS.,P.O.R., Bi   3-6MM PIECES  3mm-6mm Pieces 25 g 99.999% EVMBI2-4MMA
Bismuth,EUDF BISMUTH PIECES,99.999% PURE,N/A,50 GRAMS,P.O.R., Bi   3-6MM PIECES  3mm-6mm Pieces 50 g 99.999% EVMBI2-4MMB
Bismuth,EUDF BISMUTH PIECES,99.999% PURE,N/A,100 GRAMS,P.O.R., Bi   3-6MM PIECES  3mm-6mm Pieces 100 g 99.999% EVMBI2-4MMD
Bismuth,EUDF BISMUTH PIECES,99.999% PURE,N/A,200 GRAMS,P.O.R., Bi   3-6MM PIECES  3mm-6mm Pieces 200 g 99.999% EVMBI2-4MMH
Bismuth,EUDF BISMUTH PIECES,99.999% PURE,N/A,250 GRAMS,P.O.R., Bi   3-6MM RANDOM PIECES  3mm-6mm Pieces 250 g 99.999% EVMBI2-4MMJ
Bismuth,EUDF BISMUTH PIECES,99.999% PURE,N/A,500 GRAMS,P.O.R., Bi   3-6MM PIECES  3mm-6mm Pieces 500 g 99.999% EVMBI2-4MMT
Boron,BORON PIECES,99.5% PURE,N/A,50GM LOT,P.O.R., B   3-8MM CRYSTALLINE  50 grams 3mm - 8mm Pieces 99.5% EVMBX3-8MMB
Boron,BORON PIECES,99.5% PURE,N/A,100 GRAM LOT,P.O.R., B   3-8MM CRYSTALLINE  100 grams 3mm - 8mm Pieces 99.5% EVMBX3-8MMD
Boron,BORON PIECES,99.5% PURE,N/A,ROUGHLY 3MM PIECES,P.O.R.,   POROUS  100 GRAMS 100 grams Approx 3mm Pieces 99.5% EVMBX253MMD
Boron Carbide,BORON CARBIDE PIECES,99.5% PURE 3-12MM PIECES,N/A,500 GRAMS,P.O.R., B4C   3mm - 12mm 500 g 99.5% EVMBC25312T
Boron Carbide,BORON CARBIDE PIECES,99.5% PURE,N/A,100 GRAMS,€180.00, B4C   3-6MM PIECES  3mm - 6mm 100 g 99.5% EVMBC2536D
Boron Carbide,BORON CARBIDE PIECES,99.5% PURE,N/A,250 GRAMS,P.O.R., B4C   3-6MM PIECES  3mm - 6mm 250 g 99.5% EVMBC2536J
Boron Carbide,BORON CARBIDE PIECES,99.5% PURE,N/A,1 KILOGRAM,P.O.R., B4C   3-6MM PIECES  3mm - 6mm 1 kg 99.5% EVMBC2536KG
Boron Carbide,BORON CARBIDE PIECES,99.5% PURE,N/A,500 GRAMS,P.O.R., B4C   3-6MM PIECES  3mm - 6mm 500 g 99.5% EVMBC2536T
Calcium,CALCIUM PIECES,99% PURE,N/A,25 GRAMS,P.O.R., Ca   APPROX 3MM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING Approximately 3mm 25 g 99% EVMCAX203MMA
Calcium,CALCIUM PIECES,99% PURE,N/A,50 GRAMS,P.O.R., Ca   APPROX 3MM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING Approximately 3mm 50 g 99% EVMCAX203MMB
Calcium,CALCIUM PIECES,99% PURE,N/A,100 GRAMS,P.O.R., Ca   APPROX 3MM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING Approximately 3mm 100 g 99% EVMCAX203MMD
Calcium Fluoride,CALCIUM FLUORIDE PIECES,99.99% PURE,N/A,1 KILOGRAM LOT,P.O.R., CaF2   1-4MM PIECES  CRYSTALLINE  1-4mm Pieces  Crystalline 1kg 99.99% EVMCAF1-4KG
Calcium Fluoride,CALCIUM FLUORIDE PIECES,99.99% PURE,N/A,25 GRAMS,P.O.R., CaF2   1-4MM PIECES   CRYSTALLINE 1mm - 4mm 25g 99.99% EVMCAF1-4A
Calcium Fluoride,CALCIUM FLUORIDE PIECES,99.99% PURE,N/A,50 GRAMS,P.O.R., CaF2   1-4MM PIECES  1mm - 4mm 50g 99.99% EVMCAF1-4B
Calcium Fluoride,CALCIUM FLUORIDE PIECES,99.99% PURE,N/A,100 GRAMS,P.O.R., CaF2   1-4MM PIECES  1mm - 4mm 100g 99.99% EVMCAF1-4D
Calcium Fluoride,CALCIUM FLUORIDE PIECES,99.99% PURE,N/A,250 GRAMS,P.O.R., CaF2   1-4MM PIECES  1mm - 4mm 250g 99.99% EVMCAF1-4J
Calcium Fluoride,CALCIUM FLUORIDE PIECES,99.99% PURE,N/A,500 GRAMS,P.O.R., CaF2   1-4MM PIECES  CRYSTALLINE  1mm - 4mm 500g 99.99% EVMCAF401-4T
Cerium,CERIUM PIECES,99.9% PURE TREM,N/A,APPROX. 1-3MM PIECES 50 GRAM LOT,P.O.R., Ce    PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 1mm - 3mm Pieces 50 g 99.9% EVMCEX1-3MMB
Cerium,CERIUM PIECES,99.9% PURE TREM,N/A,25 GRAMS,P.O.R., Ce   2-6MM RANDOM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 2mm - 6mm Pieces 25g 99.9% EVMCEX2-6MMA
Cerium,CERIUM PIECES,99.9% PURE TREM,N/A,250 GRAMS,P.O.R., Ce   2-6MM RANDOM PIECES   PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 2mm - 6mm Pieces 250 g 99.9% EVMCEX2-6MMJ
Cerium Oxide,CERIUM OXIDE PIECES,99.99% PURE,N/A,50 GRAMS,P.O.R., CeO2   1-4MM PIECES  1mm - 4mm 50g 99.99% EVMCEO1-4B
Cerium Oxide,CERIUM OXIDE PIECES,99.99% PURE,N/A,100 GRAMS,P.O.R., CeO2   1-4MM PIECES  1mm - 4mm 100g 99.99% EVMCEO1-4D
Cerium Oxide,CERIUM OXIDE PIECES,99.99% PURE,N/A,1 KILOGRAM LOT,P.O.R., CeO2   1-4MM PIECES  1mm - 4mm 1kg 99.99% EVMCEO1-4KG
Cerium Oxide,CERIUM OXIDE PIECES,99.99% PURE,N/A,25 GRAMS,P.O.R., CeO2   1-4MM PIECES  1mm - 4mm 25g 99.99% EVMCEO1-4MMA
Cerium Oxide,CERIUM OXIDE PIECES,99.99% PURE,N/A,500 GRAMS,P.O.R., CeO2   1-4MM PIECES  1mm - 4mm 500g 99.99% EVMCEO1-4T
N/A,CHROME/SILICON MONOXIDE PIECES,99.95% PURE,N/A,PER GRAM,€1.02,Chrome/Silicon Monoxide  Cr/SiO  70/30 WT%   1-4MM PIECES  SINTERED  1mm - 4mm Per Gram 99.95% EVMCRSIO351-4MMX
Chromium,CHROMIUM PIECES,Cr 99.95% PURE,N/A,1 lb.,€175.00,  0.8MM TO 6MM PIECES  1 POUND 0.8mm - 6mm Pieces 99.95% EVMCR35
Chromium,CHROMIUM PIECES,Cr 99.95% PURE,N/A,25 GRAMS,€35.00,  0.8MM TO 6MM PIECES  0.8mm - 6mm Pieces 25 g 99.95% EVMCR35A
Chromium,CHROMIUM PIECES,99.95% PURE,N/A,50 GRAMS,€39.00, Cr   0.8MM TO 6MM PIECES  0.8mm - 6mm Pieces 50 g 99.95% EVMCR35B
Chromium,CHROMIUM PIECES,99.95% PURE,N/A,100 GRAMS,€48.00, Cr   0.8MM TO 6MM PIECES  0.8mm - 6mm Pieces 100 g 99.95% EVMCR35D
Chromium,CHROMIUM PIECES,99.95% PURE,N/A,250 GRAMS,€94.00, Cr   0.8MM TO 6MM PIECES  0.8mm - 6mm Pieces 250 g 99.95% EVMCR35J
Chromium,CHROMIUM PIECES,99.95% PURE,N/A,1 KILOGRAM,€282.00, Cr   0.8MM TO 6MM PIECES  0.8mm - 6mm Pieces 1 kg 99.95% EVMCR35KG
Chromium,CHROMIUM PIECES,99.95% PURE,N/A,500 GRAMS,€153.00, Cr   0.8MM TO 6MM PIECES  0.8mm - 6mm Pieces 500 g 99.95% EVMCR35T
Chrome Plated Tungsten,CHROME PLATED TUNGSTEN ROD,N/A,2" LONG X 0.050" DIAMETER ROD,5/PKG,€47.00,  FOR Cr EVAPORATION   W/ CLEAN/FLUSH ENDS 5 1.05 78 82 1800 °C EVSCRW1
Chrome Plated Tungsten,CHROME PLATED TUNGSTEN ROD,N/A,4" LONG X 0.050" DIAMETER ROD,5/PKG,€53.00,  FOR Cr EVAPORATION   W/ CLEAN/FLUSH ENDS 5 2.02 78 158 1800 °C EVSCRW2
