Name,Material,Purity,Diameter,Lenght,Price,Rest
N/A,Aluminum,99.88% PURE,N/A,N/A,P.O.R.,ALUMINUM CANE  Al    SOLD PER BOX  PACKAGED IN 24 POUND BOX 555–565 mg 24-lb. Box 99.88% — EVMAL1188560
000 PIECES/BAG,Aluminum,99.99% PURE,N/A,N/A,P.O.R.,ALUMINUM CANE EVAPORANT  Al   400mg EACH  FLAT TYPE  1  400 mg 1 99.99% — EVMAL1199400
000 PIECES/ BAG,Aluminum,99.5% PURE,N/A,N/A,P.O.R.,ALUMINUM CLIP  Al    10  95–105 mg 10 000 Pieces 99.5% EVMAL1350U10
N/A,Aluminum,99.5% PURE,N/A,N/A,P.O.R.,ALUMINUM CLIP EVAPORANT  Al    5  000/BAG  SOLD PER BAG 117–130 mg 5 000 Pieces 99.5% EVMAL1350U12
N/A,Aluminum,N/A,N/A,N/A,P.O.R.,ALUMINUM CLIP EVAPORANT  Al   68-79MG  10000/BAG 68–79 mg 10 000 Pieces 99.5% EVMAL1350U73
ALUMINUM CRIMP,Aluminum,99.5% PURE,N/A,N/A,P.O.R., Al    000 PIECES/ BAG 21–25 mg 10 000 Pieces 99% EVMAL1100212
ALUMINUM CRIMP,Aluminum,99.5% PURE,N/A,N/A,P.O.R., Al    10  000 PIECES/BAG 30–35 mg 10 000 Pieces 99% EVMAL1100317
ALUMINUM CRIMP,Aluminum,99.5% PURE,N/A,N/A,P.O.R., Al    10  000 PIECES/ BAG 35–40 mg 10 000 Pieces 99% EVMAL1100367
ALUMINUM CRIMP,Aluminum,99.95% PURE,N/A,N/A,P.O.R., Al    10  000 PCS/ BAG 386–406 mg 10 000 Pieces 99.5% EVMAL1350396
ALUMINUM CRIMP,Aluminum,99.95% PURE,N/A,N/A,P.O.R., Al    5  000 PIECS/BAG 125–139 mg 5 000 Pieces 99.5% EVMAL1350632
N/A,Aluminum,99.5% pure),N/A,N/A,P.O.R.,Aluminum Crimps (5   68–79 mg 5 000 Pieces 99.5% EVMAL1350737
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,€299.00, Al2O3    1 KILOGRAM 1mm - 2.5mm Pieces 1 kg 99.99% EVMALO-1-2.5
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,P.O.R., AL2O3    100 GRAMS. 1mm - 2.5mm Pieces 100 g 99.99% EVMALO-1-2.5D
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,€46.00, Al2O3    25 GRAMS  CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 25 g 99.99% EVMALO1-3MMA
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,€59.00, Al2O3    50 GRAMS  CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 50 g 99.99% EVMALO1-3MMB
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,€106.00, Al2O3    100 GRAMS  CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 100 g 99.99% EVMALO1-3MMD
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,P.O.R., Al2O3    1KG LOT  CLEAR  POLYCRYSTALLINE 1mm - 3mm Pieces 1 kg 99.99% EVMALO1-3MMKG
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,P.O.R., Al2O3    CLEAR  POLYCRYSTALLINE  500 GRAMS 1mm - 3mm Pieces 500 g 99.99% EVMALO1-3MMT
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,P.O.R., Al2O3    1 POUND  CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 1 lb 99.99% EVMALO-1220
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,€70.00, Al2O3    25 GRAMS  CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 25 g 99.99% EVMALO-1220A
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,€101.00, Al2O3    50 GRAMS  CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 50 g 99.99% EVMALO-1220B
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,€187.00, Al2O3    100 GRAMS  CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 100 g 99.99% EVMALO-1220D
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,P.O.R., Al2O3    1 KILOGRAM  CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 1 kg 99.99% EVMALO-1220KG
ALUMINUM OXIDE PIECES,Aluminum Oxide,99.99% PURE,N/A,N/A,P.O.R., Al2O3    500 GRAMS  CLEAR  SINGLE CRYSTAL SAPPHIRE 1mm - 5mm Pieces 500 g 99.99% EVMALO-1220T
ANTIMONY PIECES,Antimony,99.999% PURE,N/A,N/A,P.O.R., Sb   1-3MM SHOT  1 POUND 1 lb. 99.999% EVMSB501141
ANTIMONY PIECES,Antimony,99.999% PURE,N/A,N/A,P.O.R., Sb   1-3MM SHOT  1mm - 3mm Pieces 25 g 99.999% EVMSB501141A
ANTIMONY PIECES,Antimony,99.999% PURE,N/A,N/A,€157.00, Sb   1-3MM SHOT  1mm - 3mm Pieces 50 g 99.999% EVMSB501141B
ANTIMONY PIECES,Antimony,99.999% PURE,N/A,N/A,P.O.R., Sb    100 GRAMS 1mm - 3mm Pieces 100 g 99.999% EVMSB501141D
ANTIMONY PIECES,Antimony,99.999% PURE,N/A,N/A,P.O.R., Sb   1-3MM SHOT  1mm - 3mm Pieces 500 g 99.999% EVMSB501141T
ANTIMONY PIECES,Antimony,99.999% PURE,N/A,N/A,P.O.R., Sb    25 GRAMS 3mm - 6mm Pieces 25 g 99.999% EVMSB5036MMA
BARIUM PIECES,Barium,99.5% PURE Ex Sr,N/A,N/A,P.O.R., Ba    200 GRAM LOT  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 200 g 99.5% EVMBA253-6MM
BARIUM PIECES,Barium,99.5% MIN. PURE Ex Sr,N/A,N/A,P.O.R., Ba    25 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 25 g 99.5% EVMBA3-6MMA
BARIUM PIECES,Barium,99.5% MIN. PURE Ex Sr,N/A,N/A,P.O.R., Ba    50 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 50 g 99.5% EVMBA3-6MMB
BARIUM PIECES,Barium,99.5% MIN. PURE Ex Sr,N/A,N/A,P.O.R., Ba    100 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 100 g 99.5% EVMBA3-6MMD
BARIUM PIECES,Barium,99.5% MIN. PURE Ex Sr,N/A,N/A,P.O.R., Ba    500 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 3mm - 6mm Pieces 500 g 99.5% EVMBA3-6MMT
EUDF BISMUTH PIECES,Bismuth,99.999% PURE,N/A,N/A,P.O.R., Bi    25 GRAMS. 3mm-6mm Pieces 25 g 99.999% EVMBI2-4MMA
EUDF BISMUTH PIECES,Bismuth,99.999% PURE,N/A,N/A,P.O.R., Bi    50 GRAMS 3mm-6mm Pieces 50 g 99.999% EVMBI2-4MMB
EUDF BISMUTH PIECES,Bismuth,99.999% PURE,N/A,N/A,P.O.R., Bi    100 GRAMS 3mm-6mm Pieces 100 g 99.999% EVMBI2-4MMD
EUDF BISMUTH PIECES,Bismuth,99.999% PURE,N/A,N/A,P.O.R., Bi    200 GRAMS 3mm-6mm Pieces 200 g 99.999% EVMBI2-4MMH
EUDF BISMUTH PIECES,Bismuth,99.999% PURE,N/A,N/A,P.O.R., Bi    250 GRAMS 3mm-6mm Pieces 250 g 99.999% EVMBI2-4MMJ
EUDF BISMUTH PIECES,Bismuth,99.999% PURE,N/A,N/A,P.O.R., Bi    500 GRAMS 3mm-6mm Pieces 500 g 99.999% EVMBI2-4MMT
BORON PIECES,Boron,99.5% PURE,N/A,N/A,P.O.R., B   3-8MM CRYSTALLINE  50 grams 3mm - 8mm Pieces 99.5% EVMBX3-8MMB
BORON PIECES,Boron,99.5% PURE,N/A,N/A,P.O.R., B   3-8MM CRYSTALLINE  100 grams 3mm - 8mm Pieces 99.5% EVMBX3-8MMD
BORON PIECES,Boron,99.5% PURE,N/A,N/A,P.O.R.,   POROUS  100 GRAMS 100 grams Approx 3mm Pieces 99.5% EVMBX253MMD
BORON CARBIDE PIECES,Boron Carbide,99.5% PURE 3-12MM PIECES,N/A,N/A,P.O.R., B4C   3mm - 12mm 500 g 99.5% EVMBC25312T
BORON CARBIDE PIECES,Boron Carbide,99.5% PURE,N/A,N/A,€180.00, B4C    100 GRAMS 3mm - 6mm 100 g 99.5% EVMBC2536D
BORON CARBIDE PIECES,Boron Carbide,99.5% PURE,N/A,N/A,P.O.R., B4C    250 GRAMS 3mm - 6mm 250 g 99.5% EVMBC2536J
BORON CARBIDE PIECES,Boron Carbide,99.5% PURE,N/A,N/A,P.O.R., B4C    1 KILOGRAM 3mm - 6mm 1 kg 99.5% EVMBC2536KG
BORON CARBIDE PIECES,Boron Carbide,99.5% PURE,N/A,N/A,P.O.R., B4C    500 GRAMS 3mm - 6mm 500 g 99.5% EVMBC2536T
CALCIUM PIECES,Calcium,99% PURE,N/A,N/A,P.O.R., Ca    25 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING Approximately 3mm 25 g 99% EVMCAX203MMA
CALCIUM PIECES,Calcium,99% PURE,N/A,N/A,P.O.R., Ca    50 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING Approximately 3mm 50 g 99% EVMCAX203MMB
CALCIUM PIECES,Calcium,99% PURE,N/A,N/A,P.O.R., Ca    100 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING Approximately 3mm 100 g 99% EVMCAX203MMD
CALCIUM FLUORIDE PIECES,Calcium Fluoride,99.99% PURE,N/A,N/A,P.O.R., CaF2    CRYSTALLINE  1 KILOGRAM LOT 1-4mm Pieces  Crystalline 1kg 99.99% EVMCAF1-4KG
CALCIUM FLUORIDE PIECES,Calcium Fluoride,99.99% PURE,N/A,N/A,P.O.R., CaF2    25 GRAMS  CRYSTALLINE 1mm - 4mm 25g 99.99% EVMCAF1-4A
CALCIUM FLUORIDE PIECES,Calcium Fluoride,99.99% PURE,N/A,N/A,P.O.R., CaF2    50 GRAMS 1mm - 4mm 50g 99.99% EVMCAF1-4B
CALCIUM FLUORIDE PIECES,Calcium Fluoride,99.99% PURE,N/A,N/A,P.O.R., CaF2    100 GRAMS 1mm - 4mm 100g 99.99% EVMCAF1-4D
CALCIUM FLUORIDE PIECES,Calcium Fluoride,99.99% PURE,N/A,N/A,P.O.R., CaF2    250 GRAMS 1mm - 4mm 250g 99.99% EVMCAF1-4J
CALCIUM FLUORIDE PIECES,Calcium Fluoride,99.99% PURE,N/A,N/A,P.O.R., CaF2    CRYSTALLINE  500 GRAMS 1mm - 4mm 500g 99.99% EVMCAF401-4T
CERIUM PIECES,Cerium,99.9% PURE TREM,N/A,N/A,P.O.R., Ce    PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 1mm - 3mm Pieces 50 g 99.9% EVMCEX1-3MMB
CERIUM PIECES,Cerium,99.9% PURE TREM,N/A,N/A,P.O.R., Ce    25 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 2mm - 6mm Pieces 25g 99.9% EVMCEX2-6MMA
CERIUM PIECES,Cerium,99.9% PURE TREM,N/A,N/A,P.O.R., Ce    250 GRAMS  PACKAGED IN MINERAL OIL  HAZARDOUS SHIPPING 2mm - 6mm Pieces 250 g 99.9% EVMCEX2-6MMJ
CERIUM OXIDE PIECES,Cerium Oxide,99.99% PURE,N/A,N/A,P.O.R., CeO2    50 GRAMS 1mm - 4mm 50g 99.99% EVMCEO1-4B
CERIUM OXIDE PIECES,Cerium Oxide,99.99% PURE,N/A,N/A,P.O.R., CeO2    100 GRAMS 1mm - 4mm 100g 99.99% EVMCEO1-4D
CERIUM OXIDE PIECES,Cerium Oxide,99.99% PURE,N/A,N/A,P.O.R., CeO2    1 KILOGRAM LOT 1mm - 4mm 1kg 99.99% EVMCEO1-4KG
CERIUM OXIDE PIECES,Cerium Oxide,99.99% PURE,N/A,N/A,P.O.R., CeO2    25 GRAMS 1mm - 4mm 25g 99.99% EVMCEO1-4MMA
CERIUM OXIDE PIECES,Cerium Oxide,99.99% PURE,N/A,N/A,P.O.R., CeO2    500 GRAMS 1mm - 4mm 500g 99.99% EVMCEO1-4T
CHROME/SILICON MONOXIDE PIECES,N/A,99.95% PURE,N/A,N/A,€1.02,Chrome/Silicon Monoxide  Cr/SiO  70/30 WT%    SINTERED  PER GRAM 1mm - 4mm Per Gram 99.95% EVMCRSIO351-4MMX
CHROMIUM PIECES,Chromium,Cr 99.95% PURE,N/A,N/A,€175.00,   1 POUND 0.8mm - 6mm Pieces 1 lb. 99.95% EVMCR35
CHROMIUM PIECES,Chromium,Cr 99.95% PURE,N/A,N/A,€35.00,   25 GRAMS 0.8mm - 6mm Pieces 25 g 99.95% EVMCR35A
CHROMIUM PIECES,Chromium,99.95% PURE,N/A,N/A,€39.00, Cr    50 GRAMS 0.8mm - 6mm Pieces 50 g 99.95% EVMCR35B
