Material,Name,Formula,Purity,Diameter mm,Diameter ",Thickness mm,Thickness ",Price,Rest
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTPRCAMO3A2,N/A,EJTPRCAMO3A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Praseodymium  Calcium Manganate,N/A,Praseodymium  Calcium Manganate,N/A,N/A,N/A,N/A,N/A,N/A,
PRASEODYMIUM CALCIUM MANGANATE TARGET,PRASEODYMIUM CALCIUM MANGANATE TARGET,,99.9% PURE,0.254,0.010",N/A,N/A,N/A,Pr(0.7)Ca(0.3)MnO(3)
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTPRCAMO3A4,N/A,EJTPRCAMO3A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Praseodymium  Calcium Manganate,N/A,Praseodymium  Calcium Manganate,N/A,N/A,N/A,N/A,N/A,N/A,
PRASEODYMIUM CALCIUM MANGANATE TARGET,PRASEODYMIUM CALCIUM MANGANATE TARGET,,99.9% PURE,0.254,0.010",N/A,N/A,N/A,Pr(0.7)Ca(0.3)MnO(3)
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTPRCAMO4A2,N/A,EJTPRCAMO4A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Praseodymium  Calcium Manganate,N/A,Praseodymium  Calcium Manganate,N/A,N/A,N/A,N/A,N/A,N/A,
PRASEODYMIUM CALCIUM MANGANATE TARGET,PRASEODYMIUM CALCIUM MANGANATE TARGET,,99.9% PURE,0.254,0.010",N/A,N/A,N/A,Pr(0.7)Ca(0.3)MnO(3)
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTPRCAMO4A4,N/A,EJTPRCAMO4A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re     ARC-MELTED  MAY HAVE SURFACE IMPERFECTIONS
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX401A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX401A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re
2.00" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX402A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re
2.00" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX402A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX403A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX403A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX404A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhenium,N/A,Rhenium,N/A,N/A,N/A,N/A,N/A,N/A,
RHENIUM TARGET,RHENIUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Re
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTREXX404A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
RHODIUM TARGET,RHODIUM TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,Rh     ARC-MELTED  MAY HAVE SURFACE IMPERFECTIONS
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX281A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
RHODIUM TARGET,RHODIUM TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,Rh     ARC-MELTED  MAY HAVE SURFACE IMPERFECTIONS
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX281A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
RHODIUM TARGET,RHODIUM TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,Rh
2.00" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.00",3.175,0.125",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX282A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
RHODIUM TARGET,RHODIUM TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,Rh     HOT-PRESSED
2.00" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.00",6.35,0.250",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX282A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
RHODIUM TARGET,RHODIUM TARGET,,99.8% PURE 3.00" DIAMETER X 0.125" THICK,0.254,0.010",N/A,N/A,N/A,Rh    HOT-PRESSED  >90% DENSE
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX283A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
RHODIUM TARGET,RHODIUM TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,Rh
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX283A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
RHODIUM TARGET,RHODIUM TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,Rh     HOT PRESSED
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX284A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium,N/A,Rhodium,N/A,N/A,N/A,N/A,N/A,N/A,
Rhodium Circular Sputter Target (4.0" Diameter x 0.250" Thickness,N/A,,99.8% pure),101.6,4.0",6.35,0.250",N/A,
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRHXX284A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru     MAY HAVE SURFACE IMPERFECTIONS
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX351A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru     MAY HAVE SURFACE IMPERFECTIONS
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX351A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru
2.00" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.00",3.175,0.125",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX352A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru
2.00" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.00",6.35,0.250",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX352A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX353A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX353A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru
3.00” Dia. x 6mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXXSPL12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX354A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Ruthenium,N/A,Ruthenium,N/A,N/A,N/A,N/A,N/A,N/A,
RUTHENIUM TARGET,RUTHENIUM TARGET,,99.95% PURE,0.254,0.010",N/A,N/A,N/A,Ru
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.95%,N/A,N/A,99.95%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTRUXX354A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Samarium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Samarium Oxide Circular Sputter Target (1.0" Diameter x 0.125" Thickness,N/A,,99.9% pure),25.4,1.0",3.175,0.125",N/A,
1.0" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.0",3.175,0.125",N/A,
99.9%,N/A,N/A,99.9%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTSMOX301A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Samarium Oxide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Samarium Oxide Circular Sputter Target (2.0" Diameter x 0.125" Thickness,N/A,,99.9% pure),50.8,2.0",3.175,0.125",N/A,
