Description,No. per Parck,Volts,Amps,Watts,Temp., Direction , weight,Price
Molybdenum,5,1.59,133,211,1400°C,0.005,EVS5005MO,€74.00
Tantalum,5,3.29,149,490,1600°C,0.005,EVS5005TA,P.O.R.
Tungsten,5,3.18,199,633,1800°C,0.005,EVS5005W,€83.00
Molybdenum,5,1.02,208,212,1400°C,0.01,EVS5010MO,P.O.R.
Tantalum,1,2.09,220,460,1600°C,0.01,EVS5010TA,€52.00
Molybdenum,1,1.05,286,300,1400°C,0.01,EVS30010MO,P.O.R.
Tantalum,1,2.6,268,703,1600°C,0.005,EVS30A005TA,P.O.R.
Tungsten,1,2.6,400,1040,1800°C,0.005,EVS30A005W,€56.00
Tantalum,1,1.44,296,427,1600°C,0.01,EVS30A010TA,€88.00
Tungsten,1,1.50,444,666,1800°C,0.01,EVS30A010W,€60.00
Tungsten,1,2.38,738,1756,2000°C,0.01,EVS32010W,€74.00
Molybdenum,1,0.88,301,265,1400°C,0.01,EVS23010MO,€36.00
Tantalum,1,1.68,295,496,1600°C,0.01,EVS23010TA,€68.00
Tungsten,1,1.50,375,562,1800°C,0.01,EVS23010W,€39.00
Molybdenum,5,1.24,202,250,1400°C,0.005,EVS24005MO,€151.00
Tantalum,1,2.28,190,433,1600°C,0.005,EVS24005TA,€46.00
Tungsten,1,2.21,256,566,1800°C,0.005,EVS24005W,€32.00
Molybdenum,1,0.83,297,247,1400°C,0.01,EVS24010MO,€36.00
Tantalum,1,1.77,329,582,1600°C,0.01,EVS24010TA,€68.00
Tungsten,1,1.70,386,656,1800°C,0.01,EVS24010W,€39.00
Molybdenum,1,1.14,300,342,1400°C,0.01,EVS25010MO,€34.00
Tantalum,1,2.16,272,588,1600°C,0.01,EVS25010TA,€48.00
Tungsten,1,2.30,375,862,1800°C,0.01,EVS25010W,€45.00
Molybdenum,1,1.10,278,306,1400°C,0.01,EVS26010MO,€34.00
Tantalum,1,2.40,293,703,1600°C,0.01,EVS26010TA,€78.00
Tungsten,1,2.14,383,820,1800°C,0.01,EVS26010W,€45.00
Molybdenum,1,1.46,94,137,1400°C,0.005,EVS33005MO,€26.00
Tantalum,1,3.27,94,307,1600°C,0.005,EVS33005TA,€47.00
Tungsten,1,3.26,144,469,1800°C,0.005,EVS33005W,€34.00
Molybdenum,1,1.05,286,300,1400°C,0.01,EVS30010MO,P.O.R.
Tantalum,1,2.6,268,703,1600°C,0.005,EVS30A005TA,P.O.R.
Tungsten,1,2.6,400,1040,1800°C,0.005,EVS30A005W,€56.00
Tantalum,1,1.44,296,427,1600°C,0.01,EVS30A010TA,€88.00
Tungsten,1,1.50,444,666,1800°C,0.01,EVS30A010W,€60.00
Tungsten,1,2.38,738,1756,2000°C,0.01,EVS32010W,€74.00
Molybdenum,1,0.88,301,265,1400°C,0.01,EVS23010MO,€36.00
Tantalum,1,1.68,295,496,1600°C,0.01,EVS23010TA,€68.00
Tungsten,1,1.50,375,562,1800°C,0.01,EVS23010W,€39.00
Molybdenum,5,1.24,202,250,1400°C,0.005,EVS24005MO,€151.00
Tantalum,1,2.28,190,433,1600°C,0.005,EVS24005TA,€46.00
Tungsten,1,2.21,256,566,1800°C,0.005,EVS24005W,€32.00
Molybdenum,1,0.83,297,247,1400°C,0.01,EVS24010MO,€36.00
Tantalum,1,1.77,329,582,1600°C,0.01,EVS24010TA,€68.00
Tungsten,1,1.70,386,656,1800°C,0.01,EVS24010W,€39.00
Molybdenum,1,1.14,300,342,1400°C,0.01,EVS25010MO,€34.00
Tantalum,1,2.16,272,588,1600°C,0.01,EVS25010TA,€48.00
Tungsten,1,2.30,375,862,1800°C,0.01,EVS25010W,€45.00
Molybdenum,1,1.10,278,306,1400°C,0.01,EVS26010MO,€34.00
Tantalum,1,2.40,293,703,1600°C,0.01,EVS26010TA,€78.00
Tungsten,1,2.14,383,820,1800°C,0.01,EVS26010W,€45.00
Molybdenum,1,1.46,94,137,1400°C,0.005,EVS33005MO,€26.00
Tantalum,1,3.27,94,307,1600°C,0.005,EVS33005TA,€47.00
Tungsten,1,3.26,144,469,1800°C,0.005,EVS33005W,€34.00
Molybdenum,5,1.21,108,131,1400°C,0.005,EVS7005MO,€51.00
Tantalum,5,2.48,138,342,1600°C,0.005,EVS7005TA,€123.00
